Player ID:,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Conor Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 6:08:08 PM,1757182088,Fastball,Y,0.25,35.25,82.66,1872.87,1866.7,99.67,10:06,1,10.6,-16.6,-,-,-,-,-4.21,0,5.4,-2.54,-4.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,60
2,Sat Sep 06 2025 6:07:52 PM,1757182072,ChangeUp,N,0.51,9.3,76.17,1415.77,1415.8,100,9:24,1,3.8,-13.1,-,-,-,-,-4.08,-1.1,5.5,-2.76,-0.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,64
3,Sat Sep 06 2025 6:07:26 PM,1757182046,Fastball,Y,-2.46,23.47,80.8,1904.83,1814.1,95.24,9:58,1,4.2,-16.9,-,-,-,-,-4.4,-0.06,5.26,-3,-17.76,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,71
4,Sat Sep 06 2025 6:07:09 PM,1757182029,Fastball,Y,0.28,27.15,81.85,1977.51,1907.8,96.47,9:58,1,4.2,-17.3,-,-,-,-,-4.47,0.27,5.23,-2.8,-15.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sat Sep 06 2025 6:06:53 PM,1757182013,ChangeUp,Y,7.26,27.67,76.24,1233.24,1231.8,99.88,9:04,1,5,-11.8,-,-,-,-,-4.61,0.65,5.32,-2.81,-2.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 6:06:37 PM,1757181997,ChangeUp,N,14.89,11.75,77.35,1433.99,1422.1,99.17,9:26,1,3.1,-11.4,-,-,-,-,-5.1,-0.94,5.56,-2.69,-7.38,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 6:06:23 PM,1757181983,Slider,N,9.08,16.64,73.8,2271.02,1785.9,78.64,3:40,1,-6.1,7.3,-,-,-,-,-3.21,1.11,5.23,-2.93,-38.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 6:06:10 PM,1757181970,Slider,Y,-0.78,22.61,72.59,2219.37,1108,49.93,4:28,1,-2.5,11.3,-,-,-,-,-1.86,1.52,5.21,-2.78,-60.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 6:05:53 PM,1757181953,Fastball,Y,6.85,32.19,82.39,1735.84,1675.1,96.5,9:52,1,9.1,-15.1,-,-,-,-,-4.73,0.04,5.38,-2.69,-15.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 6:05:39 PM,1757181939,Fastball,N,15.15,33.25,82.22,1823.86,1802.2,98.81,9:58,1,9.3,-15.2,-,-,-,-,-5.42,0.1,5.41,-2.63,-8.84,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 6:05:23 PM,1757181923,Fastball,N,-0.03,52.75,82.66,1815.68,1755.7,96.69,9:56,1,9.3,-16.1,-,-,-,-,-4.34,1.94,5.28,-2.76,-14.77,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 6:05:09 PM,1757181909,Slider,Y,-0.1,26.62,74.07,2102.19,904.3,43.02,4:36,1,-3.6,6.4,-,-,-,-,-2.52,1.84,5.2,-2.94,-64.52,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 6:04:56 PM,1757181896,Slider,Y,-0.93,28.09,73.75,2265.14,1032.9,45.6,4:40,1,-5.3,9.2,-,-,-,-,-2.19,2.18,5.21,-2.94,-62.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 6:04:39 PM,1757181879,Slider,N,7.3,14.07,77.64,1445.07,1147.7,79.42,8:58,1,2.5,-13.4,-,-,-,-,-4.71,-0.77,5.47,-2.74,-37.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 6:04:25 PM,1757181865,ChangeUp,N,-13.51,32.97,76.72,1407.36,1404.2,99.77,9:24,1,-0.2,-14,-,-,-,-,-3.02,1.46,5.38,-2.8,-3.86,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 6:04:01 PM,1757181841,Fastball,Y,-5.21,27.02,82.7,2177.62,2166,99.47,10:08,1,8.3,-17.3,-,-,-,-,-4.09,-0.47,5.38,-2.86,-5.91,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-