Player ID:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Derek Duval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 5:22:17 PM,1757179337,Fastball,N,-7.36,48.57,84.17,2068.47,1884.9,91.13,0:30,1,18.1,4.4,-,-,-,-,1.19,-0.31,6.01,0.12,24.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,75
2,Sat Sep 06 2025 5:22:06 PM,1757179326,Slider,Y,-7.61,26.26,73.27,2280.28,1582.4,69.4,7:06,1,-4.3,-13.7,-,-,-,-,0.13,1.33,5.53,0.62,46.06,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,80
3,Sat Sep 06 2025 5:21:51 PM,1757179311,Slider,N,-33.98,1.65,74.56,2245.19,1462.1,65.12,6:54,1,-10.8,-13.1,-,-,-,-,2.43,-0.1,5.58,0.58,49.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,77
4,Sat Sep 06 2025 5:21:38 PM,1757179298,Fastball,N,-10.39,26.96,85.18,2240.07,1874.4,83.67,1:34,1,13.7,8.8,-,-,-,-,1.97,-1.89,5.96,0.21,33.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,76
5,Sat Sep 06 2025 5:21:24 PM,1757179284,-,N,-,-,78.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 5:21:09 PM,1757179269,Slider,Y,-7.27,19.46,77.16,1581.18,1515.6,95.86,5:42,1,4.8,7.6,-,-,-,-,1.87,-0.72,5.75,0.51,-16.55,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 5:20:54 PM,1757179254,Fastball,N,-20.83,20.49,85.58,2048.54,1911,93.28,1:54,1,12.1,13,-,-,-,-,3.64,-2.29,5.74,0.52,21.12,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 5:20:32 PM,1757179232,Slider,N,-13.86,-18.04,79.3,1792.03,1656.5,92.44,3:36,1,-6.8,5.1,-,-,-,-,2.61,-2.85,5.42,0.85,22.42,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 5:20:16 PM,1757179216,Fastball,Y,1.42,26.21,85.83,2185.9,1787.6,81.78,1:30,1,16.7,8.1,-,-,-,-,1.22,-2.35,5.75,0.54,35.14,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 5:20:03 PM,1757179203,Fastball,N,-12.76,30.1,85.6,2221.48,1775.3,79.92,1:34,1,18.5,7.5,-,-,-,-,2.4,-1.92,5.8,0.55,36.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 5:19:37 PM,1757179177,Slider,N,-10.8,10.05,73.49,2003.26,2002.6,99.97,6:28,1,-12.8,-8.1,-,-,-,-,0.4,0.16,6,0.15,-1.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 5:19:22 PM,1757179162,Slider,N,11.45,22.52,71.77,2319.65,1577.6,68.01,7:10,1,-8.8,-11,-,-,-,-,-1.28,1.75,5.42,0.69,47.15,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 5:19:07 PM,1757179147,Slider,Y,7.54,28.78,73.1,2238.55,2022.2,90.34,7:26,1,-9.1,-12.3,-,-,-,-,-1.11,2.08,5.56,0.61,25.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 5:18:52 PM,1757179132,Slider,Y,6.65,25.91,73.92,2257.83,1858.8,82.33,7:38,1,-3.4,-11,-,-,-,-,-0.89,1.13,5.42,0.65,34.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 5:18:38 PM,1757179118,Fastball,Y,-0.95,22.28,87.09,2196.71,2042.6,92.98,1:26,1,19.7,12.8,-,-,-,-,1.57,-2.94,5.89,0.32,21.59,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 5:18:23 PM,1757179103,Fastball,Y,-7.2,40.65,86.39,2108.17,1895,89.89,1:24,1,16.5,8.5,-,-,-,-,1.63,-0.73,5.84,0.21,25.99,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
17,Sat Sep 06 2025 5:18:10 PM,1757179090,Fastball,N,-13.23,14.05,87.36,2151.52,2031.5,94.42,0:46,1,17.3,10,-,-,-,-,2.27,-3.83,5.95,0.13,19.23,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-