Player ID:,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Eamon Giblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 8:52:07 PM,1757191927,Fastball,Y,-7.68,27.14,84.84,2049.3,1855.6,90.55,1:14,1,17.6,9.1,-,-,-,-,2.2,-2.69,6.31,0.65,25.11,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,72
2,Sat Sep 06 2025 8:51:54 PM,1757191914,Slider,N,-21.13,25.83,76.44,2086.97,1183.8,56.72,6:14,0.5,-1.4,-7.4,-,-,-,-,2.5,0.5,5.76,1.17,55.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,59
3,Sat Sep 06 2025 8:51:41 PM,1757191901,Fastball,Y,7.96,29.12,86,2126.35,1966.3,92.47,1:26,1,18.5,12.7,-,-,-,-,1.45,-2.48,6.2,0.95,22.37,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,57
4,Sat Sep 06 2025 8:51:28 PM,1757191888,Slider,N,-21.95,17.99,76.77,1563.39,921.5,58.95,7:56,1,-3.8,-1.7,-,-,-,-,3.02,-0.28,5.96,1.13,53.88,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
5,Sat Sep 06 2025 8:51:16 PM,1757191876,-,Y,-,-,76.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 8:51:05 PM,1757191865,Fastball,Y,6.35,39.08,86.54,2113.9,2089.9,98.86,1:06,0.5,18.4,13.8,-,-,-,-,1.39,-1.7,6.33,0.67,8.65,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 8:50:54 PM,1757191854,Fastball,Y,-7.07,24,86.18,2070.18,1995,96.37,0:52,1,18.7,14.4,-,-,-,-,2.77,-2.97,6.17,0.78,15.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 8:50:34 PM,1757191834,ChangeUp,N,-6.6,6,79.47,1723.77,1697.3,98.47,1:56,1,19.1,13,-,-,-,-,3.09,-3.92,6.13,1.26,10.05,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 8:50:20 PM,1757191820,ChangeUp,N,-29.98,6.12,79.87,1728.64,1626.7,94.1,2:04,1,17.4,12.9,-,-,-,-,4.97,-3.87,6.14,1.11,19.78,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 8:50:06 PM,1757191806,Slider,N,-5.32,13.26,77.69,2099.83,671.9,32,4:44,1,2.6,-1.5,-,-,-,-,1.63,-1.54,5.97,1.2,71.34,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 8:49:54 PM,1757191794,Slider,Y,6.29,41.29,76.04,2028.18,582.9,28.74,5:40,0.5,0.1,-2,-,-,-,-,0.7,1.71,5.81,1.35,73.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 8:49:42 PM,1757191782,Fastball,Y,-7.43,33.55,86.42,2317.34,2246.5,96.94,1:12,1,17.5,12.5,-,-,-,-,2.66,-2.17,6.27,0.79,14.21,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 8:49:31 PM,1757191771,Fastball,N,-10.5,27.98,86.53,2230.36,2205.5,98.89,1:08,1,22,12,-,-,-,-,2.67,-2.98,6.22,0.59,8.56,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 8:48:34 PM,1757191714,Fastball,N,-37.76,41.57,85.85,2155.99,1688.9,78.34,1:40,1,18.3,8.2,-,-,-,-,4.71,-1.5,6.2,0.42,38.43,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 8:48:18 PM,1757191698,Fastball,N,-27.54,3.04,85.74,2144.35,1878.8,87.62,1:16,1,20.4,8.6,-,-,-,-,3.8,-5.1,6.43,0.56,28.82,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-