Player ID:,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Enger Paulino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 6:42:21 PM,1757184141,Fastball,N,-15.47,31.66,93.26,2507.3,2248,89.66,0:44,1,17,10.8,-,-,-,-,4.2,-2.24,5.77,1.69,26.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,81
2,Sat Sep 06 2025 6:42:01 PM,1757184121,Fastball,N,-29.51,39.82,91.8,2453.76,1976.9,80.57,1:50,1,20,9.6,-,-,-,-,5.14,-1.56,5.73,1.47,36.32,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,82
3,Sat Sep 06 2025 6:41:43 PM,1757184103,Slider,Y,-7.84,33.1,82.65,2779.2,1121.5,40.35,10:44,1,6.2,-10.7,-,-,-,-,1.97,0.2,5.32,2.09,66.2,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,81
4,Sat Sep 06 2025 6:41:21 PM,1757184081,Splitter,Y,8.77,24.86,87.82,2035.64,2024.7,99.46,1:52,1,12.4,18.5,-,-,-,-,2.98,-1.96,5.78,2,5.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,81
5,Sat Sep 06 2025 6:41:06 PM,1757184066,Fastball,Y,4.89,26.3,92.76,2418.68,2195.1,90.76,0:36,1,18.2,11.5,-,-,-,-,2.44,-2.85,5.75,1.69,24.83,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 6:40:36 PM,1757184036,Splitter,N,8.12,14.12,88.87,1864.33,1854.8,99.49,1:44,1,-,23.8,-,-,-,-,3.15,-6.33,6.03,1.73,-5.8,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 6:40:16 PM,1757184016,Splitter,N,-27.84,-6.83,88.55,1631.78,1620,99.28,2:02,1,28.7,8,-,-,-,-,5.15,-5.75,5.89,1.98,-6.89,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 6:39:59 PM,1757183999,Fastball,N,-12.93,22.08,92.38,2453.09,1831.8,74.67,2:00,1,18.2,11.4,-,-,-,-,3.92,-3.06,5.75,1.63,41.69,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 6:39:27 PM,1757183967,Fastball,N,-4.82,53.77,91.76,1688.99,1627.9,96.38,2:02,0.5,15.7,10.1,-,-,-,-,3.11,0.29,5.53,1.57,-15.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 6:39:12 PM,1757183952,Fastball,N,-12.05,32.61,91.78,2441.44,1959.8,80.27,1:56,1,11.8,11.7,-,-,-,-,3.84,-1.52,5.7,1.54,36.61,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 6:38:53 PM,1757183933,Slider,N,-25.26,11.7,81.67,2679.77,2052.3,76.58,10:22,1,7.4,-10,-,-,-,-,3.57,-1.78,5.34,2.07,40.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 6:38:38 PM,1757183918,Slider,Y,-7.55,36.29,80.12,2572.69,1007.3,39.15,7:04,1,0.1,-14.2,-,-,-,-,1.77,1.35,5.4,2.19,66.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 6:38:23 PM,1757183903,Cutter,N,-12.78,22.7,83.87,2517.93,534.1,21.21,9:28,1,6.2,-6.2,-,-,-,-,2.39,-1.21,5.66,1.68,77.75,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 6:38:09 PM,1757183889,Cutter,N,-15.15,26.04,83.97,2501.96,688.6,27.52,3:00,1,3,-4.6,-,-,-,-,2.71,-0.93,5.89,1.61,74.02,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 6:37:55 PM,1757183875,Fastball,Y,-5,23.75,90.9,2311.48,2123.2,91.86,1:58,1,13.9,13.2,-,-,-,-,3.39,-2.37,5.68,1.61,23.28,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 6:37:41 PM,1757183861,Fastball,N,-15,26.78,91.43,2378.18,2143,90.11,2:00,1,12.9,12.4,-,-,-,-,4.26,-2.12,5.63,1.63,25.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-