Player ID:,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Nolan Feidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 8:17:54 PM,1757189874,Fastball,N,10.5,27.95,90.04,2348.58,2140.5,91.14,10:02,1,12,-15.6,-,-,-,-,-5.84,-1.03,5.15,-3.34,-24.3,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,74
2,Sat Sep 06 2025 8:17:37 PM,1757189857,-,N,-,-,77.13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,76
3,Sat Sep 06 2025 8:17:22 PM,1757189842,Fastball,Y,-2.18,21.25,89.26,2421.62,2282.9,94.27,10:00,1,11.9,-19.5,-,-,-,-,-5.22,-1.52,5.09,-3.56,-19.49,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,74
4,Sat Sep 06 2025 8:16:57 PM,1757189817,Slider,N,-24.94,31.09,69.66,2266.96,877.8,38.72,4:28,1,-1.2,8.3,-,-,-,-,-0.49,2.37,5.3,-3.23,-67.22,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,80
5,Sat Sep 06 2025 8:16:38 PM,1757189798,Slider,N,-22.43,21.95,69.66,2156.52,918.7,42.6,4:32,1,-4.1,11.3,-,-,-,-,-0.43,2.12,5.11,-3.21,-64.79,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 8:16:22 PM,1757189782,Slider,N,29.67,22.44,72.11,2292.42,943.5,41.16,4:40,1,2.5,8.8,-,-,-,-,-5.23,1.1,5.12,-3.2,-65.7,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 8:16:04 PM,1757189764,Fastball,N,-12.93,25.4,88.06,2290.02,2118.8,92.52,10:00,1,4.7,-20.6,-,-,-,-,-4.39,-0.37,4.96,-3.48,-22.29,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 8:15:48 PM,1757189748,-,N,-,-,78.21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 8:15:28 PM,1757189728,-,Y,-,-,77.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 8:15:13 PM,1757189713,Fastball,N,13.11,22.84,88.85,2345.47,2197.8,93.7,10:00,1,17.1,-17.9,-,-,-,-,-6.24,-1.97,5.21,-3.4,-20.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 8:14:51 PM,1757189691,ChangeUp,N,-13.64,24.21,81,1904.24,1899,99.72,9:22,1,6.3,-19,-,-,-,-,-4.32,0.25,4.69,-3.67,-4.26,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 8:14:36 PM,1757189676,ChangeUp,Y,-3.79,18.36,81.45,2050.29,2040.3,99.51,9:26,1,7.7,-19.1,-,-,-,-,-5.15,-0.5,4.78,-3.65,-5.67,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 8:14:18 PM,1757189658,Fastball,Y,-0.58,36.63,87.55,2368.25,1866.6,78.82,10:08,1,9.3,-15.7,-,-,-,-,-4.98,0.39,4.97,-3.44,-37.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 8:14:00 PM,1757189640,Fastball,N,10.15,30.08,88.93,2304.79,2173.9,94.32,9:56,1,10.7,-18,-,-,-,-,-6.23,-0.61,5,-3.48,-19.4,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 8:13:43 PM,1757189623,Fastball,N,22.15,31.75,88.51,2214.65,2074.1,93.65,9:34,1,13.7,-17.7,-,-,-,-,-7.11,-0.68,5,-3.32,-20.53,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 8:13:25 PM,1757189605,Fastball,N,22.2,20.87,88.6,2321.64,2290.1,98.64,9:56,1,12.1,-18.1,-,-,-,-,-7.18,-1.66,5.01,-3.35,-9.46,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-