Player ID:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Name:,Tristan Ciampa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (trajectory),HB (trajectory),SSW VB,SSW HB,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number,SO - latLongConfidence,SO - latitude,SO - longitude,SO - rotMatConfidence,SO - timestamp,SO - Xx,SO - Xy,SO - Xz,SO - Yx,SO - Yy,SO - Yz,SO - Zx,SO - Zy,SO - Zz,Horizontal Approach Angle,Vertical Approach Angle,Session Name,Intent Type,Release Extension (ft)
1,Sat Sep 06 2025 5:56:14 PM,1757181374,Fastball,Y,-4.39,33.61,89.38,2066.83,1420.7,68.74,1:24,1,16.3,8.4,-,-,-,-,2.35,-1.52,5.61,1.11,46.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,81
2,Sat Sep 06 2025 5:55:56 PM,1757181356,Fastball,N,-18.66,28.72,90.1,2154.68,1651.7,76.66,1:42,1,16,5.4,-,-,-,-,3.33,-1.9,5.63,1.12,39.95,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,75
3,Sat Sep 06 2025 5:55:43 PM,1757181343,Fastball,N,-9.45,45.15,89.97,2099.2,1741.7,82.97,1:36,1,15.6,9.2,-,-,-,-,2.85,-0.47,5.56,1.08,33.93,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,79
4,Sat Sep 06 2025 5:55:19 PM,1757181319,ChangeUp,Y,-5.14,20.92,84.05,1955.45,1855.6,94.89,1:58,1,10.8,14.3,-,-,-,-,3.21,-1.5,5.34,1.32,18.39,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,74
5,Sat Sep 06 2025 5:55:04 PM,1757181304,ChangeUp,Y,-0.38,24.72,83.43,2016.3,1999.3,99.16,1:56,1,11.8,11.5,-,-,-,-,2.46,-1.11,5.29,1.25,7.44,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
6,Sat Sep 06 2025 5:54:47 PM,1757181287,ChangeUp,N,3.24,13.92,83.44,1897.24,1801.9,94.98,1:38,1,29.3,19,-,-,-,-,2.88,-4.21,5.55,1.32,18.24,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
7,Sat Sep 06 2025 5:54:29 PM,1757181269,Fastball,Y,-9.57,28.48,89.84,2149.28,1936.5,90.1,0:46,1,16.4,7.2,-,-,-,-,2.66,-1.87,5.57,1.09,25.71,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
8,Sat Sep 06 2025 5:54:11 PM,1757181251,ChangeUp,N,12.43,51.06,77.89,1882.01,972.9,51.7,6:02,1,-1.1,-10.8,-,-,-,-,-0.97,2.75,5.57,1.04,58.87,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
9,Sat Sep 06 2025 5:53:55 PM,1757181235,Slider,N,-12.53,22.52,79.4,2616.46,1971.9,75.37,7:34,1,-3.5,-10.6,-,-,-,-,1.37,0.17,5.56,1.11,41.09,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
10,Sat Sep 06 2025 5:53:37 PM,1757181217,Fastball,N,-8.82,15.32,90.25,2141.25,1674.2,78.19,1:40,1,20.2,10.2,-,-,-,-,2.99,-3.49,5.64,1.24,38.57,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
11,Sat Sep 06 2025 5:53:21 PM,1757181201,Cutter,Y,-5.76,32.87,87.14,2516.6,820,32.58,1:54,1,9.8,-1,-,-,-,-,1.87,-0.57,5.48,1.34,70.98,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
12,Sat Sep 06 2025 5:53:07 PM,1757181187,Cutter,N,-18.47,18.88,87.12,2518.86,920.1,36.53,1:46,1,11.6,-2.6,-,-,-,-,2.72,-2.21,5.61,1.24,68.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
13,Sat Sep 06 2025 5:52:53 PM,1757181173,Fastball,Y,3.63,30.94,90.64,2061.61,1874.5,90.92,0:34,1,15.1,8.8,-,-,-,-,1.82,-1.75,5.58,1.25,24.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
14,Sat Sep 06 2025 5:52:39 PM,1757181159,Fastball,N,-19.32,33.06,89.8,2037.21,1832.5,89.95,0:46,1,18.8,6.7,-,-,-,-,3.75,-1.55,5.37,1.23,25.9,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
15,Sat Sep 06 2025 5:52:25 PM,1757181145,Fastball,N,-11.56,34.52,89.56,2123.72,1683.1,79.25,1:48,1,15.1,7.3,-,-,-,-,3.07,-1.17,5.5,1.27,37.58,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-
16,Sat Sep 06 2025 5:52:11 PM,1757181131,Fastball,N,-28.01,18.2,87.97,2050.73,1602.7,78.15,1:36,1,-,2.2,-,-,-,-,3.83,-5.1,5.91,1.09,38.6,-,MTD-22117O95312,,,,,,,,,,,,,,,-,-,untitled,high_intent,-